result #	query	article title	article url	article description	Author	Date	total nr of results indicated by Google	Extra settings	
643	discrimination blogurl:savetheinternet.com/blog	Comment on Net Leaders: Discrimination Is Bad for Business by ...	http://www.savetheinternet.com/blog/2006/06/25/net-leaders-telco-discrimination-is-bad-for-business/#comment-47428	university towers apartment… Latest university towers apartment news…	university towers apartment  	25/03/2007	163		
644	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-86852	[…] (Link via Marvin Ammori (who ROCKS), guest blogging for SaveTheInternet.com) […]	shouting loudly » Comcast’s New ToS:...  	08/02/2008	163		
645	discrimination blogurl:savetheinternet.com/blog	Comment on Net Leaders: Discrimination Is Bad for Business by Top ...	http://www.savetheinternet.com/blog/2006/06/25/net-leaders-telco-discrimination-is-bad-for-business/#comment-49582	[…] Comment on Net Leaders: Discrimination Is Bad for Business by find …[…] Rich wrote an interesting post today onHere'sa quick excerptuniversity towers apartment… Latest university towers apartment news… […] […]	Top News Online Business A Twitter in Training  	01/04/2007	163		
646	discrimination blogurl:savetheinternet.com/blog	Comment on Net Discrimination in Disguise by lunesta	http://www.savetheinternet.com/blog/2006/06/14/discrimination-in-disguise/#comment-43837	lunesta… …	lunesta  	06/03/2007	163		
647	discrimination blogurl:savetheinternet.com/blog	Comment on Discrimination Isn't Comcastic by Comcast not net ...	http://www.savetheinternet.com/blog/2007/10/23/discrimination-isnt-comcastic/#comment-78888	[…] “Save the Internet” ) Tagged with: screwed comcast filtering “free […]	Comcast not net neutral « Island in the Net  	27/11/2007	163		
648	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-90223	they're already doing it. In just the past few months, in addition to Comcast's assault on competing file-sharing applications, Verizon has blocked text messages sent by NARAL Pro-Choice […]	Net Neutrality - Marijuana Growing  	29/02/2008	163		
649	discrimination blogurl:savetheinternet.com/blog	Comment on Net Leaders: Discrimination Is Bad for Business by find ...	http://www.savetheinternet.com/blog/2006/06/25/net-leaders-telco-discrimination-is-bad-for-business/#comment-49346	[…] Rich wrote an interesting post today onHere's a quick excerptuniversity towers apartment… Latest university towers apartment news… […]	find » Comment on Net Leaders: Discrimination...  	01/04/2007	163		
650	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-86676	Something I have yet to understand. ISPs advertise certain aspects of their services, yet the services are not as advertised. How have advertisements not been regulated to state the truth of the services offered. ...	wditzler  	07/02/2008	163		
651	discrimination blogurl:savetheinternet.com/blog	Comment on Net Leaders: Discrimination Is Bad for Business by ...	http://www.savetheinternet.com/blog/2006/06/25/net-leaders-telco-discrimination-is-bad-for-business/#comment-41728	frame hooking puritan rug… homepage of frame hooking puritan rug…	frame hooking puritan rug  	16/02/2007	163		
652	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-87509	caaron wrote an interesting post today onHere's a quick excerptI want to get rid of any cell phone and internet service I have that is corrupt but I need to know which are and aren't first! I think that it would be really effective to ...	Comcast News » Blog Archive » Comment...  	11/02/2008	163		
653	discrimination blogurl:savetheinternet.com/blog	Comment on Discrimination Isn't Comcastic by It's Simple - What ...	http://www.savetheinternet.com/blog/2007/10/23/discrimination-isnt-comcastic/#comment-78676	[…] But here's the problem and it's not as if millions of you haven't seen or read this; […]	It’s Simple - What Comcast Did Was Wrong  	26/11/2007	163		
654	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-87206	I seem to remember a long time ago seeing a list of companies that support and don't support net neutrality on here but now I don't see it. I've looked elsewhere online and I can't seem to find it. Does anyone know where I could find a ...	ShannonOBrien  	10/02/2008	163		
655	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-88625	2008 During a Friday briefing in the chambers of the House Commerce Committee Tim Wu, Ben Scott, Marvin Ammori, Jef Pearlman and Markham Erickson laid out the central struggle in our campaign to save a […]	Stop the Propaganda / Directory of Truth...  	28/06/2008	163		
656	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-122803	it turns out Comcast Communications, the powerful cable company and internet service provider was caught red handed restricting service to some lawful users. Upon discovery our federal government through the FCC […]	Net neutrality revisited | Around Des Moines  	01/08/2008	163		
657	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-100582	Comcast stopped my internet service with no written notice! After being a happy Comcast customer for over one year, I wake up and find out I have no service, it's not that I didn't pay my bill or accessed illegal sites; it was because I ...	paulburrowes  	25/04/2008	163		
658	discrimination blogurl:savetheinternet.com/blog	Comment on Discrimination Isn't Comcastic by credit card debt ...	http://www.savetheinternet.com/blog/2007/10/23/discrimination-isnt-comcastic/#comment-106482	advance cash company loan… Always 7100i blackberry ringtones advance cash day loan pay…	credit card debt calculator calculator...  	04/05/2008	163		
659	discrimination blogurl:savetheinternet.com/blog	Comment on Net Discrimination in Disguise by a456fc3ac3b3	http://www.savetheinternet.com/blog/2006/06/14/discrimination-in-disguise/#comment-111121	a456fc3ac3b3… a456fc3ac3b31ee1bedd…	a456fc3ac3b3  	08/05/2008	163		
660	discrimination blogurl:savetheinternet.com/blog	Comment on AT&T's New Tune on Net Neutrality by barry payne-economist	http://www.savetheinternet.com/blog/2008/05/02/atts-new-tune-on-net-neutrality/#comment-111573	Opponents of net neutrality claim in error that it will prohibit or discourage certain kinds of discrimination necessary to encourage innovation, investment and adoption of new technologies for broadband service. ...	barry payne-economist  	09/05/2008	163		
661	discrimination blogurl:savetheinternet.com/blog	Comment on Comcast's New Terms of Service: A Recipe for ...	http://www.savetheinternet.com/blog/2008/02/06/comcast-new-terms-of-service-recipe-for-discrimination/#comment-113833	[…] but I don't trust Comcast at all what with their sketchy terms of service implementations and withdrawals, it's quite clear that customer service is not anywhere near […]	Why I Deleted My Plaxo Account » netZoo.net...  	14/05/2008	163		
662	discrimination blogurl:savetheinternet.com/blog	My Web Series Made Possible by Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/10/01/05/my-web-series-made-possible-net-neutrality	Today AT&T has conceded in principle to support the idea of Net Neutrality but still don't want any rules forcing them to maintain their Internet service with non discrimination -- they suggest we remake the Web the way the U.S. existed ...	Ruth Livier  	05/01/2010	163		
663	discrimination blogurl:dig.csail.mit.edu/breadcrumbs/blog/4	n/a	n/a	n/a			n/a		
664	discrimination blogurl:internetevolution.com/author.asp?section_id=506&doc_id=134705	n/a	n/a	n/a			n/a		
665	discrimination blogurl:seminal.firedoglake.com/diary/22925	n/a	n/a	n/a			n/a		
666	discrimination blogurl:techdailydose.nationaljournal.com/2010/01/fcc-using-comcast-dispute-to-p.php	n/a	n/a	n/a			n/a		
667	discrimination blogurl:philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	Comcast, FCC take net neutrality dispute to court | Philly | 01/08 ...	http://www.philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	Or it could force the agency to consider reclassifying broadband as a more heavily regulated telecommunications service that would be subject to non-discrimination rules. Either way, the case heard Friday could provide a road map. ...	n/a	09/01/2010	1		
668	discrimination blogurl:mediacitizen.blogspot.com/2010/01/at-consultant-conjures-evidence-that.html	n/a	n/a	n/a			n/a		
669	discrimination blogurl:artsjournal.com/artsjournal1/2010/01/why_musicians_s.shtml	n/a	n/a	n/a			n/a		
670	discrimination blogurl:savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	n/a	n/a	n/a			n/a		
671	discrimination blogurl:ecommercetimes.com/rsstory/69063.html	n/a	n/a	n/a			n/a		
672	discrimination blogurl:radiosurvivor.com/2010/01/08/crossover-bands-hit-fcc-with-net-neutrality-letters	n/a	n/a	n/a			n/a		
673	discrimination blogurl:blogportant.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap	n/a	n/a	n/a			n/a		
674	discrimination blogurl:right-winglibertarian.blogspot.com/2010/01/so-what-exactly-is-net-neutrality.html	n/a	n/a	n/a			n/a		
675	discrimination blogurl:freedom-to-tinker.com/blog/jrmayer/search-neutrality-%E2%89%A0-net-neutrality	Search Neutrality ≠ Net Neutrality | Freedom to Tinker	http://www.freedom-to-tinker.com/blog/jrmayer/search-neutrality-%E2%89%A0-net-neutrality	Net neutrality advocates call for regulation because ISP discrimination could render innovative services either impossible to implement owing to traffic restrictions or too expensive to deploy owing to traffic pricing. ...	Jonathan Mayer  	30/12/2009	1		
676	discrimination blogurl:michaelgeist.ca/content/view/4668/125	n/a	n/a	n/a			n/a		
677	discrimination blogurl:benton.org/node/28370	n/a	n/a	n/a			n/a		
678	discrimination blogurl:pajamasmedia.com/instapundit/91254	n/a	n/a	n/a			n/a		
679	discrimination blogurl:pcmike.com/2010/01/08/court-to-fcc-you-have-no-power-to-enforce-net-neutrality-wired-news	n/a	n/a	n/a			n/a		
680	discrimination blogurl:thegng.org/forums/showthread.php?t=12916	n/a	n/a	n/a			n/a		
681	discrimination blogurl:thegng.org/forums/showthread.php?t=6736	Comcast: NBC Universal Merger 'Pro Consumer' - Cable giant ...	http://www.thegng.org/forums/showthread.php?t=12922	In fact, existing law already prohibits any discrimination by Comcast against other providers regarding programming we own and would preclude Comcast from "prioritizing" NBCU channels. Fitzmaurice is claiming that the same sort of ...	GNG News Guy  	09/01/2010	2		
682	discrimination blogurl:thegng.org/forums/showthread.php?t=6736	Comcast: The Rules We're Eliminating Will Protect You From Us ...	http://www.thegng.org/forums/showthread.php?t=12920	In fact, existing law already prohibits any discrimination by Comcast against other providers regarding programming we own and would preclude Comcast from "prioritizing" NBCU channels. Wait, what? Fitzmaurice is claiming that the same ...	GNG News Guy  	09/01/2010	2		
683	discrimination blogurl:smt-info.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap.html	n/a	n/a	n/a			n/a		
684	discrimination blogurl:technews.am/conversations/cellular-news/comcast_fcc_take_net_neutrality_dispute_to_court	n/a	n/a	n/a			n/a		
685	discrimination blogurl:technews.am	Ex-Fried Frank Associate Sues Firm; Claims Sexual Discrimination ...	http://technews.am/conversations/silicon-alley-insider/ex_fried_frank_associate_sues_firm_claims_sexual_discrimination_and_doesnt_hold_back_on_details	Last week brought word that a former Fried Frank Associate Julie Kamps was suing...	n/a	31/12/2009	77		
686	discrimination blogurl:technews.am	fcc to propose new net neutrality rules disallowing data ...	http://technews.am/conversations/engadget-mobile/fcc_to_propose_new_net_neutrality_rules_disallowing_data_discrimination_100	filed under: misc based on what we're hearing, a slate of soon-to-be-proposed fcc rules may.	n/a	18/09/2009	77		
687	discrimination blogurl:technews.am	Ex-Employee Sues Zynga For Discrimination, Wrongful Termination ...	http://technews.am/conversations/techcrunch/ex_employee_sues_zynga_for_discrimination_wrongful_termination	Zynga's social gaming network is going gangbusters right now, reportedly pushing...	n/a	01/05/2009	77		
688	discrimination blogurl:technews.am	cox follows comcast down the data discrimination road... (engadget ...	http://technews.am/conversations/engadget/cox_follows_comcast_down_the_data_discrimination_road	it's a sad day for cox internet subscribers, 'cause if the fcc or some other almighty agency doesn't step in soon, your traffic could be slowed...	n/a	29/01/2009	77		
689	discrimination blogurl:technews.am	study: ad agencies exhibit pervasive racial discrimination ...	http://technews.am/conversations/advertising-age/study_ad_agencies_exhibit_pervasive_racial_discrimination	according to cyrus mehri's madison avenue project, it is guilty of "pervasive racial discrimination" that not only underhires and segregates african-americans but pays them 80 cents for every dollar it pays comparable white employees. ...	n/a	08/01/2009	77		
690	discrimination blogurl:technews.am	FOX -Time Warner Spat Shows Why The Death Of TV Can't Come Soon ...	http://technews.am/conversations/silicon-alley-insider/fox_time_warner_spat_shows_why_the_death_of_tv_cant_come_soon_enough	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	01/01/2010	77		
691	discrimination blogurl:technews.am	Googler Running For Governor Of Vermont... (Silicon Alley Insider ...	http://technews.am/conversations/silicon-alley-insider/googler_running_for_governor_of_vermont	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	01/01/2010	77		
692	discrimination blogurl:technews.am	Top 10 Objectively Biggest Tech Stories Of 2009... (Silicon Alley ...	http://technews.am/conversations/silicon-alley-insider/top_10_objectively_biggest_tech_stories_of_2009	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	01/01/2010	77		
693	discrimination blogurl:technews.am	Google Plasters Chrome Ad On Its Home Page... (Silicon Alley ...	http://technews.am/conversations/silicon-alley-insider/google_plasters_chrome_ad_on_its_home_page	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	26/12/2009	77		
694	discrimination blogurl:technews.am	How ISPs Try to Scare You Into Paying For Internet You Don't Need ...	http://technews.am/conversations/silicon-alley-insider/how_isps_try_to_scare_you_into_paying_for_internet_you_dont_need	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	26/12/2009	77		
695	discrimination blogurl:technews.am	Time For The Xbox 720, PS4, And Wii 2? (NTDOY, MSFT, SNE ...	http://technews.am/conversations/silicon-alley-insider/time_for_the_xbox_720_ps4_and_wii_2_ntdoy_msft_sne_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	21/12/2009	77		
696	discrimination blogurl:technews.am	What Happened Between Google And Yelp? (GOOG)... (Silicon Alley ...	http://technews.am/conversations/silicon-alley-insider/what_happened_between_google_and_yelp_goog_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	22/12/2009	77		
697	discrimination blogurl:technews.am	Capcom's Million Rain Check (TYO9697)... (Silicon Alley Insider ...	http://technews.am/conversations/silicon-alley-insider/capcoms_70_million_rain_check_tyo9697_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	22/12/2009	77		
698	discrimination blogurl:technews.am	No One Wants To Buy Magazines On The iPhone (AAPL)... (Silicon ...	http://technews.am/conversations/silicon-alley-insider/no_one_wants_to_buy_magazines_on_the_iphone_aapl_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	21/12/2009	77		
699	discrimination blogurl:technews.am	5 Things Every CEO Should Know About Cloud Computing... (Silicon ...	http://technews.am/conversations/silicon-alley-insider/5_things_every_ceo_should_know_about_cloud_computing	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	21/12/2009	77		
700	discrimination blogurl:technews.am	turns out its not sex discrimination to get fired for looking at ...	http://technews.am/conversations/techdirt/turns_out_its_not_sex_discrimination_to_get_fired_for_looking_at_porn_sites	eric goldman alerts us to an appeals court ruling finding against a guy who claims that his firing was gender discrimination after the hospital he worked for found that he had been surfing porn and "hacking" sites. ...	n/a	01/07/2009	77		
701	discrimination blogurl:technews.am	CHARTS OF THE WEEK: How Long Can Microsoft's Internet Explorer ...	http://technews.am/conversations/silicon-alley-insider/charts_of_the_week_how_long_can_microsofts_internet_explorer_hold_on_msft_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	20/12/2009	77		
702	discrimination blogurl:technews.am	Check Out New York's Newest Startup Hangout, Dogpatch Labs ...	http://technews.am/conversations/silicon-alley-insider/check_out_new_yorks_newest_startup_hangout_dogpatch_labs	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	18/12/2009	77		
703	discrimination blogurl:technews.am	Bit.ly Launches Bitly.tv To Track Popular Video Clips... (Silicon ...	http://technews.am/conversations/silicon-alley-insider/bit_ly_launches_bitly_tv_to_track_popular_video_clips	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	17/12/2009	77		
704	discrimination blogurl:technews.am	Bing iPhone App: Smart Move By Microsoft!... (Silicon Alley ...	http://technews.am/conversations/silicon-alley-insider/bing_iphone_app_smart_move_by_microsoft_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	15/12/2009	77		
705	discrimination blogurl:technews.am	The 6 People You'll Meet On Twitter... (Silicon Alley Insider ...	http://technews.am/conversations/silicon-alley-insider/the_6_people_youll_meet_on_twitter	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	16/12/2009	77		
706	discrimination blogurl:technews.am	Europe Drops Antitrust Case Against Microsoft Over Browsers ...	http://technews.am/conversations/silicon-alley-insider/europe_drops_antitrust_case_against_microsoft_over_browsers	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	16/12/2009	77		
707	discrimination blogurl:technews.am	Morgan Stanley's Mobile Internet Report (Complete)... (Silicon ...	http://technews.am/conversations/silicon-alley-insider/morgan_stanleys_mobile_internet_report_complete_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	15/12/2009	77		
708	discrimination blogurl:technews.am	Amazon Signs Bestselling Author To Game-Changing Kindle eBook Deal ...	http://technews.am/conversations/silicon-alley-insider/amazon_signs_bestselling_author_to_game_changing_kindle_ebook_deal	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	15/12/2009	77		
709	discrimination blogurl:technews.am	Every Single AOL Third Screen Media Engineer Quits... (Silicon ...	http://technews.am/conversations/silicon-alley-insider/every_single_aol_third_screen_media_engineer_quits	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	15/12/2009	77		
710	discrimination blogurl:technews.am	Google To Lay Undersea Telecom Pipes To Asia... (Silicon Alley ...	http://technews.am/conversations/silicon-alley-insider/google_to_lay_undersea_telecom_pipes_to_asia	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	14/12/2009	77		
711	discrimination blogurl:technews.am	The Google Phone Is “Like An iPhone On Beautifying Steroids ...	http://technews.am/conversations/silicon-alley-insider/the_google_phone_is_like_an_iphone_on_beautifying_steroids_	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	12/12/2009	77		
712	discrimination blogurl:technews.am	Alan Meckler Buys Another Blog Network... (Silicon Alley Insider ...	http://technews.am/conversations/silicon-alley-insider/alan_meckler_buys_another_blog_network	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	10/12/2009	77		
713	discrimination blogurl:technews.am	CHART OF THE DAY: Microsoft's Decade Of Dominance... (Silicon ...	http://technews.am/conversations/silicon-alley-insider/chart_of_the_day_microsofts_decade_of_dominance	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	07/12/2009	77		
714	discrimination blogurl:technews.am	Please Don't Build That Branded iPhone App... (Silicon Alley ...	http://technews.am/conversations/silicon-alley-insider/please_dont_build_that_branded_iphone_app	Last week brought word that a former Fried Frank Associate Julie Kamps was suing the firm and several of its partners for sexual discrimination and its allegedly related failure to promote her to partner. ...	n/a	05/12/2009	77		
715	discrimination blogurl:cod4boards.com/news/163261-court-fcc-you-don-t-have-power-enforce-net-neutrality.html	n/a	n/a	n/a			n/a		
716	discrimination blogurl:www2.webmasterradio.fm/webcology/2008/preserving-net-neutrality	n/a	n/a	n/a			n/a		
717	discrimination blogurl:news.cnet.com/8301-1035_3-10430009-94.html?part=rss&subj=news&tag=2547-1_3-0-20	n/a	n/a	n/a			n/a		
718	discrimination blogurl:topsy.com/tb/www.wired.com/threatlevel/2010/01/fcc-net-neutrality	n/a	n/a	n/a			n/a		
719	discrimination blogurl:shareconnector.com/court-to-fcc-you-don%E2%80%99t-have-power-to-enforce-net-neutrality	n/a	n/a	n/a			n/a		
720	discrimination blogurl:industry.bnet.com/technology/news-analysis/comcast-fcc-neutrality-court/25853	n/a	n/a	n/a			n/a		
721	discrimination blogurl:techdirt.com/articles/20100108/1315247679.shtml	Court Notices That The FCC Appears To Have No Legal Mandate To ...	http://techdirt.com/articles/20100108/1315247679.shtml	... in a recent interview concerning the proposed Comcast/NBC merger, Comcast's spokesperson highlighted that people shouldn't be afraid of NBC getting preferential treatment because "existing law already prohibits any discrimination. ...	Mike Masnick  	09/01/2010	1		
722	discrimination blogurl:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a			n/a		
723	discrimination blogurl:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	n/a	n/a	n/a			n/a		
724	discrimination blogurl:sciencenewsdaily.org/telecom-news/cluster30825320	n/a	n/a	n/a			n/a		
725	discrimination blogurl:reason.com/archives/2010/01/06/the-war-over-neutrality	The War Over Neutrality - Reason Magazine	http://reason.com/archives/2010/01/06/the-war-over-neutrality	There have already been some attempts at discrimination (Comcast etc),. does that mean there will be more, hard to say. I do know that a lot of companies are interested in it, if they can figure out a way to get away with it. ...	Peter Suderman  	06/01/2010	1		
726	discrimination blogurl:lsolum.typepad.com/legaltheory/2009/12/speta-on-fcc-regulatory-jurisdiction-net-neutrality.html	n/a	n/a	n/a			n/a		
727	tiered blogurl:chrismarsden.blogspot.com	bbc suggests tiered pricing for live tv	http://chrismarsden.blogspot.com/2008/12/bbc-suggests-tiered-pricing-for-live-tv.html	"the future lies in tiered services. what we need to do is to create the iplayer services at different quality levels and then let isps offer different bandwidth propositions to users. for example, the user who enjoys higher bandwidth ...	chris  	24/12/2008	4		
728	tiered blogurl:chrismarsden.blogspot.com	Operation Chokehold 22 hours away....	http://chrismarsden.blogspot.com/2009/12/operation-chokehold-22-hours-away.html	They're just scapegoats in a game of corporate posturing ahead of a newly tiered data pricing structure. It's as if Enron's attempt at a bandwidth commodities market never really went away. So, for one hour on Friday, I hope iPhone ...	chris  	17/12/2009	4		
729	tiered blogurl:chrismarsden.blogspot.com	streaming video on the internet	http://chrismarsden.blogspot.com/2008/10/streaming-video-on-internet.html	he expressed an interest in working with isps to develop tiered service offerings to more closely align costs with revenues, as well as to cooperate on technology-based strategies to alleviate pressure on networks. ...	chris  	03/10/2008	4		
730	tiered blogurl:chrismarsden.blogspot.com	"uk net neutrality was stillborn as an issue, but carter was happy ...	http://chrismarsden.blogspot.com/2009/01/uk-net-neutrality-was-stillborn-as.html	as well as advocating tiered content delivery, he backed "traffic management"; the somewhat euphemistic industry term for bittorrent throttling." i write this on a free public wifi at 5mbps in philadelphia, where municipal open ...	chris  	29/01/2009	4		
731	tiered blogurl:freepress.net	fear of a 2-tiered internet in canada	http://www.freepress.net/news/18920	despite mounting consumer concerns, a panel report's recommendation, and industry support for reforms that would include net neutrality, there is widespread speculation that industry minister maxime bernier will focus exclusively on ...	n/a	05/11/2006	36		
732	tiered blogurl:freepress.net	what will tiered internet access mean for npos?	http://www.freepress.net/news/16031	if net neutrality is not preserved, nonprofits may have to pay more to continue using the internet as an outreach tool.	n/a	14/06/2006	36		
733	tiered blogurl:freepress.net	plan for two-tiered internet puts higher price on speed	http://www.freepress.net/news/16181	so far, the debate has mostly been between industry giants. some small-business owners, meanwhile, worry they will get lost in the shuffle.	n/a	21/06/2006	36		
734	tiered blogurl:freepress.net	the tiered internet and “virtual redlining”	http://www.freepress.net/news/16063	more rural counties or more "urban" neighborhoods of dc can probably forget about "premium tier service" when big companies are allowed to ignore "undesirable" customers.	n/a	14/06/2006	36		
735	tiered blogurl:freepress.net	two-tiered net could be coming	http://www.freepress.net/news/24307	net providers (isps) may start charging some web sites for faster access to customers, a report has predicted. it could create a "two-tiered internet" which, while making money for providers, would risk alienating consumers.	n/a	28/06/2007	36		
736	tiered blogurl:freepress.net	Deep Packet Inspection Puts Open Internet at Risk | Free Press	http://www.freepress.net/node/49008	In just one of many examples, DPI manufacturer Allot describes how its DPI product "enables service providers to project potential revenues and profits from setting up a tiered service infrastructure" and allows providers to "reduce the ...	n/a	19/03/2009	36		
737	tiered blogurl:freepress.net	Keeping a Democratic Web | Free Press	http://www.freepress.net/news/15263	Cable and telephone companies that provide Internet service are talking about creating a two-tiered Internet, in which Web sites that pay them large fees would get priority over everything else. Read the whole story here ...	n/a	02/05/2006	36		
738	tiered blogurl:freepress.net	you get what you pay for	http://www.freepress.net/news/30927	more broadband network capacity coupled with reasonable tiered pricing would help alleviate traffic congestion. the possibility of greater profits from larger pipes is a good way to encourage the installation of larger pipes.	n/a	02/03/2008	36		
739	tiered blogurl:freepress.net	skype's net neutrality gamble: we'll be so big, they can't stop us	http://www.freepress.net/news/15587	as companies such as at&t think about cashing in on a "tiered internet," which would include "opportunities" for consumers to pay extra for the "guaranteed delivery" of data, some of them are working on ways to block skype and other ...	n/a	18/05/2006	36		
740	tiered blogurl:freepress.net	Internet Providers Ponder Bandwidth Limits for Heavy Users | Free ...	http://www.freepress.net/node/41191	Comcast says it has selected two markets -- Chambersburg, Pennsylvania and Warrenton, Virginia -- to put its new tiered pricing system for broadband usage into place. The company would delay traffic for the heaviest users. ...	Stevie Converse  	05/06/2008	36		
741	tiered blogurl:freepress.net	maybe you should not be neutral about net neutrality	http://www.freepress.net/news/29868	tiered pricing is a key argument in the fight over net neutrality. internet users should be able to access and use services of their choice without restrictions or limitations imposed by their internet service provider.	n/a	27/01/2008	36		
742	tiered blogurl:freepress.net	time warner's pricing paradox	http://www.freepress.net/news/29705	tiered pricing for internet access based on bandwidth usage could discourage some companies from launching new services that require large bandwidth, and penalize those early adopters who help refine new and more efficient technology.	n/a	22/01/2008	36		
743	tiered blogurl:freepress.net	comcast traffic monitoring a slap in the face to net neutrality	http://www.freepress.net/news/27273	comcast says it "manages the network," not by blocking applications, but by blocking traffic. this is more or less the two-tiered internet that net neutrality proponents have long warned about.	n/a	22/10/2007	36		
744	tiered blogurl:freepress.net	equipment makers enter fray over network neutrality	http://www.freepress.net/news/13964	"white papers" from major vendors including alcatel and cisco systems -- lend some heft to the increasingly contentious plans by bell and cable companies to create a tiered internet with different prices for different services.	n/a	16/02/2006	36		
